TSC_1,TSC_2,TSC_3,TSC_4,TSC_6,TSC_13,TSC_17,TSC_22,TSC_28,TSC_29,TSC_30,TSC_31,TSC_32,ACC_CR_A,ACC_CR_U,ACC_HIT_A,ACC_HIT_U
0.4,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.6,0.8,1,0.8,0.8,0.222222222,0.611111111,0.481481482,0.574074074
0.8,0.6,0.6,0.8,0.4,0.6,0.2,0.4,0.8,0.8,0.6,0.8,0.8,0.944444444,0.833333333,0.833333333,0.537037037
0.4,0.6,0.8,0.8,0.2,0.2,0.4,0.4,0.4,0.6,0.8,0.4,0.4,0.722222222,0.888888889,0.537037037,0.666666667
0.8,0.4,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0.4,0.8,0.8,0.6,0.777777778,0.555555556,0.703703704,0.462962963
0.8,0.6,0.6,1,0.8,0.8,0.4,0.6,0.8,0.8,1,0.8,1,0.555555556,0.555555556,0.833333333,0.666666667
1,0.8,1,0.6,1,0.8,1,1,0.8,0.8,1,1,0.8,0.111111111,0.722222222,0.703703704,0.87037037
0.4,0.6,0.6,0.8,0.4,0.6,0.6,0.4,0.4,0.6,0.8,0.6,0.6,0.666666667,0.833333333,0.5,0.796296296
1,0.6,1,1,1,1,0.4,1,0.4,0.6,1,0.8,0.8,0.944444444,0.944444444,0.574074074,0.888888889
0.8,0.2,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.6,0.4,0.555555556,0.444444444,0.648148148,0.574074074
0.8,0.6,0.6,0.8,0.2,0.4,0.8,0.6,0.2,0.2,0.8,0.4,0.8,0.722222222,0.611111111,0.759259259,0.277777778
0.8,0.8,1,1,0.4,0.8,0.8,0.4,0.6,0.8,0.8,0.6,0.6,0.666666667,0,0.722222222,0.425925926
0.8,0.6,0.6,0.6,0.8,0.8,0.8,1,0.6,0.6,1,0.8,0.8,0.833333333,1,0.12962963,0.685185185
0.4,0.4,0.2,0.6,0.4,0.6,0.2,0.4,0.2,0.4,0.8,0.6,0.6,0,0.277777778,0.666666667,0.851851852
0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.6,0.2,0.4,0.6,0.6,0.8,0.666666667,0.777777778,0.481481482,0.962962963
0.8,1,0.6,0.8,1,1,1,1,0.2,0.6,0.8,1,0.6,0.722222222,0.722222222,0.722222222,0.833333333
0.4,0.4,0.8,0.8,0.4,0.4,0.6,0.4,0.4,0.6,0.8,0.4,0.8,0.5,0.944444444,0.518518519,0.944444444
0.6,0.4,0.8,0.8,0.4,0.8,0.4,0.8,0.4,0.6,1,0.6,0.8,0.333333333,0.888888889,0.555555556,0.759259259
0.8,0.6,0.8,0.6,0.8,0.6,0.8,0.6,0.8,0.6,0.8,0.8,0.8,0,0.944444444,0.518518519,0.037037037
0.4,0.2,0.6,0.8,0.2,0.4,0.4,0.2,0.2,0.8,0.4,0.4,0.6,0.888888889,0.555555556,0.888888889,0.740740741
0.8,0.8,1,0.8,0.6,0.6,0.8,0.8,0.8,0.8,1,0.8,1,0.5,0.333333333,0.796296296,0.666666667
0.4,0.4,0.8,0.8,0.4,0.8,0.8,0.6,0.6,0.4,0.8,0.6,0.8,0.666666667,0.666666667,0.685185185,0.666666667
0.8,0.8,1,0.6,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.8,0.6,0.222222222,0.777777778,0.166666667,0.648148148
0.4,0.4,0.6,0.8,0.4,0.8,0.2,0.2,0.2,0.4,0.4,0.6,1,0.333333333,0.333333333,0.611111111,0.851851852
0.8,0.4,0.8,1,0.4,0.4,0.2,1,0.4,0.4,0.8,0.4,0.6,0.611111111,0.666666667,0.333333333,0.611111111
1,0.8,0.8,1,0.4,0.8,0.4,0.8,0.4,0.4,0.8,0.8,0.6,0.277777778,0.944444444,0.166666667,0.833333333
0.8,0.6,0.4,1,1,0.2,0.2,0.4,0.4,0.2,0.6,0.6,0.4,0.666666667,0.888888889,0.888888889,0.944444444
