TSC_1,TSC_2,TSC_3,TSC_4,TSC_6,TSC_13,TSC_17,TSC_22,TSC_28,TSC_29,TSC_30,TSC_31,TSC_32,ACC_CR_A,ACC_CR_U,ACC_HIT_A,ACC_HIT_U
2,4,4,4,2,2,4,4,3,4,5,4,4,0.222222222,0.611111111,0.481481482,0.574074074
4,3,3,4,2,3,1,2,4,4,3,4,4,0.944444444,0.833333333,0.833333333,0.537037037
2,3,4,4,1,1,2,2,2,3,4,2,2,0.722222222,0.888888889,0.537037037,0.666666667
4,2,3,4,4,4,4,4,3,2,4,4,3,0.777777778,0.555555556,0.703703704,0.462962963
4,3,3,5,4,4,2,3,4,4,5,4,5,0.555555556,0.555555556,0.833333333,0.666666667
5,4,5,3,5,4,5,5,4,4,5,5,4,0.111111111,0.722222222,0.703703704,0.87037037
2,3,3,4,2,3,3,2,2,3,4,3,3,0.666666667,0.833333333,0.5,0.796296296
5,3,5,5,5,5,2,5,2,3,5,4,4,0.944444444,0.944444444,0.574074074,0.888888889
4,1,3,2,2,2,2,2,2,4,4,3,2,0.555555556,0.444444444,0.648148148,0.574074074
4,3,3,4,1,2,4,3,1,1,4,2,4,0.722222222,0.611111111,0.759259259,0.277777778
4,4,5,5,2,4,4,2,3,4,4,3,3,0.666666667,0,0.722222222,0.425925926
4,3,3,3,4,4,4,5,3,3,5,4,4,0.833333333,1,0.12962963,0.685185185
2,2,1,3,2,3,1,2,1,2,4,3,3,0,0.277777778,0.666666667,0.851851852
2,2,2,2,1,2,2,3,1,2,3,3,4,0.666666667,0.777777778,0.481481482,0.962962963
4,5,3,4,5,5,5,5,1,3,4,5,3,0.722222222,0.722222222,0.722222222,0.833333333
2,2,4,4,2,2,3,2,2,3,4,2,4,0.5,0.944444444,0.518518519,0.944444444
3,2,4,4,2,4,2,4,2,3,5,3,4,0.333333333,0.888888889,0.555555556,0.759259259
4,3,4,3,4,3,4,3,4,3,4,4,4,0,0.944444444,0.518518519,0.037037037
2,1,3,4,1,2,2,1,1,4,2,2,3,0.888888889,0.555555556,0.888888889,0.740740741
4,4,5,4,3,3,4,4,4,4,5,4,5,0.5,0.333333333,0.796296296,0.666666667
2,2,4,4,2,4,4,3,3,2,4,3,4,0.666666667,0.666666667,0.685185185,0.666666667
4,4,5,3,4,4,4,4,4,3,4,4,3,0.222222222,0.777777778,0.166666667,0.648148148
2,2,3,4,2,4,1,1,1,2,2,3,5,0.333333333,0.333333333,0.611111111,0.851851852
4,2,4,5,2,2,1,5,2,2,4,2,3,0.611111111,0.666666667,0.333333333,0.611111111
5,4,4,5,2,4,2,4,2,2,4,4,3,0.277777778,0.944444444,0.166666667,0.833333333
4,3,2,5,5,1,1,2,2,1,3,3,2,0.666666667,0.888888889,0.888888889,0.944444444
