TSC_1,TSC_2,TSC_3,TSC_4,TSC_6,TSC_13,TSC_17,TSC_22,TSC_28,TSC_29,TSC_30,TSC_31,TSC_32,sum
2,4,4,4,2,2,4,4,3,4,5,4,4,46
4,3,3,4,2,3,1,2,4,4,3,4,4,41
2,3,4,4,1,1,2,2,2,3,4,2,2,32
4,2,3,4,4,4,4,4,3,2,4,4,3,45
4,3,3,5,4,4,2,3,4,4,5,4,5,50
5,4,5,3,5,4,5,5,4,4,5,5,4,58
2,3,3,4,2,3,3,2,2,3,4,3,3,37
5,3,5,5,5,5,2,5,2,3,5,4,4,53
4,1,3,2,2,2,2,2,2,4,4,3,2,33
4,3,3,4,1,2,4,3,1,1,4,2,4,36
4,4,5,5,2,4,4,2,3,4,4,3,3,47
4,3,3,3,4,4,4,5,3,3,5,4,4,49
2,2,1,3,2,3,1,2,1,2,4,3,3,29
2,2,2,2,1,2,2,3,1,2,3,3,4,29
4,5,3,4,5,5,5,5,1,3,4,5,3,52
2,2,4,4,2,2,3,2,2,3,4,2,4,36
3,2,4,4,2,4,2,4,2,3,5,3,4,42
4,3,4,3,4,3,4,3,4,3,4,4,4,47
2,1,3,4,1,2,2,1,1,4,2,2,3,28
4,4,5,4,3,3,4,4,4,4,5,4,5,53
2,2,4,4,2,4,4,3,3,2,4,3,4,41
4,4,5,3,4,4,4,4,4,3,4,4,3,50
2,2,3,4,2,4,1,1,1,2,2,3,5,32
4,2,4,5,2,2,1,5,2,2,4,2,3,38
5,4,4,5,2,4,2,4,2,2,4,4,3,45
4,3,2,5,5,1,1,2,2,1,3,3,2,34
