SOI_1,SOI_2,SOI_3,SOI_4,SOI_5,SOI_6,SOI_7,SOI_8,SOI_9,SDI_1,SDI_2,SDI_3,SDI_4,SDI_5,SDI_6,SDI_7,SDI_8,SDI_9,SDI_10,SDI_11,SDI_12,SDI_13,SDI_14
0.666666667,0.444444444,0.555555556,0.888888889,0.777777778,0.222222222,0.888888889,0.666666667,0.222222222,0.375,0.625,0.555555556,0.777777778,0.444444444,0.777777778,0.777777778,0.777777778,0.444444444,0.555555556,0.444444444,0.444444444,0.444444444,0.555555556
0.222222222,0.333333333,0.333333333,0.555555556,0.555555556,0.333333333,0.444444444,0.111111111,0.111111111,0.5,0.5,0.555555556,0.444444444,0.333333333,0.666666667,0.666666667,0.444444444,0.444444444,0.444444444,0.444444444,0.333333333,0.333333333,0.222222222
0.444444444,0.333333333,0.333333333,0.777777778,0.777777778,0.111111111,0.777777778,0.666666667,0.555555556,0.625,0.75,0.444444444,0.555555556,0.444444444,0.777777778,0.666666667,0.666666667,0.444444444,0.111111111,0.222222222,0.111111111,0.111111111,0.444444444
0.222222222,0.222222222,0.111111111,0.777777778,0.666666667,0.333333333,0.666666667,0.666666667,0.555555556,0.5,0.5,0.666666667,0.666666667,0.444444444,0.777777778,0.777777778,0.666666667,0.444444444,0.444444444,0.444444444,0.333333333,0.222222222,0.444444444
0.222222222,0.222222222,0.222222222,0.777777778,0.777777778,0.333333333,0.777777778,0.777777778,0.777777778,0.625,0.625,0.666666667,0.666666667,0.444444444,0.777777778,0.666666667,0.555555556,0.444444444,0.555555556,0.555555556,0.555555556,0.444444444,0.333333333
0.222222222,0.111111111,0.111111111,0.777777778,0.777777778,0.333333333,0.555555556,0.555555556,0.555555556,0.625,0.75,0.777777778,0.777777778,0.666666667,0.888888889,0.888888889,0.666666667,0.555555556,0.444444444,0.333333333,0.111111111,0.333333333,0.222222222
0.333333333,0.222222222,0.222222222,0.777777778,0.666666667,0.333333333,0.777777778,0.333333333,0.777777778,0.625,0.75,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.666666667,0.555555556,0.555555556,0.555555556,0.333333333,0.444444444,0.333333333
0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,1,0.777777778,0.222222222,0.222222222,0.5,0.375,0.222222222,0.777777778,0.555555556,0.777777778,0,0.111111111,0.444444444,0.666666667,0.555555556,0,0.222222222,0
0.222222222,0.222222222,0.222222222,0.333333333,0.666666667,0.222222222,0.777777778,0.666666667,0.777777778,0.75,0.75,0.888888889,0.777777778,0.444444444,0.444444444,0.666666667,0.666666667,0.777777778,0.555555556,0.555555556,0.555555556,0.666666667,0.666666667
0.333333333,0.111111111,0.222222222,1,1,0.222222222,1,1,0.888888889,0.375,0.75,0.666666667,0.666666667,0.444444444,0.444444444,0.666666667,0.333333333,0.444444444,0.555555556,0.444444444,0.444444444,0.444444444,0.666666667
