ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100
0.179671729,0.046185947,-0.160674624,0.244320501,0.183929115,0.454589451,0.283153025,0.299600275,-0.1129851,0.468458441,0.140594043,0.355601164,0.180866994,0.076977432,0.072764523,0.251225568,0.175882869,0.294533775,0.226923845,-0.181453385,-0.094995577,0.179123713,-0.001168696,0.254603762,0.116199929,-0.156525065,0.130324457,-0.072439969,-0.022838668,0.209630518,0.313314547,0.238233655,0.187695445,0.257191912,0.196259581,0.101339803,0.397325646,0.149416524,0.234700991,0.032670806,0.209399212,0.0146741,0.17384656,-0.061917811,-0.065863946,-0.188539895,0.009858339,0.47508407,0.164642382,-0.131641374,0.28093552,-0.126057556,-0.100879266,0.274555634,0.267643265,0.200774511,0.004728127,0.23920283,-0.01847454,0.195733143,0.031046018,0.230260295,0.10590162,0.187994498,0.468865657,0.191830212,-0.008859678,0.198580409,0.049129565,0.454934477,0.20728637,0.169853755,0.030898649,0.316110561,0.318900325,0.41603568,0.089438559,-0.158887642,0.343333936,-0.135966767,0.109638378,0.17862609,0.287071179,0.032905815,-0.110089547,0.140377519,0.018589725,0.300473954,0.042193437,0.330332616,0.045024992,0.177837453,0.194597982,0.21703436,0.083596323,0.188822408,0.279578871,-0.039069992,0.400639403,0.286068346
-0.010986296,0.063995997,-0.099560046,0.156031755,-0.112844201,0.378145412,0.210621934,0.289612991,-0.150961649,0.33375335,0.05993174,0.316796927,-0.042033656,-0.151467163,0.156295997,0.220679746,0.047795675,0.068063238,0.039437722,-0.033870012,0.079853859,0.032669177,-0.147870878,0.023258346,0.235826075,-0.21700806,0.039334581,-0.129590444,0.119868277,-0.155515742,0.282190235,0.205753328,0.264005772,0.161683256,0.14948335,-0.136801413,0.348369839,-0.166968927,-0.039008131,-0.096000524,0.242990215,-0.175553982,0.441719941,-0.122927727,-0.227587773,-0.15480603,0.079631331,0.427100406,0.232098942,-0.075349793,0.053113923,-0.029386815,0.075607358,0.20880085,0.086646045,-0.167480024,-0.030105806,0.010260417,0.031913831,-0.018238522,-0.003506324,-0.083936598,-0.13863723,0.05813317,0.500278677,0.344350292,-0.17670273,0.164698801,-0.10947767,0.307351567,0.120124808,-0.005957148,0.16062072,0.231442203,0.148505793,0.368387448,-0.117306175,0.097028248,0.214757091,-0.103318601,0.140904291,0.063115609,0.28911843,-0.033741357,-0.011073732,0.027488377,0.016190659,0.423353283,-0.134598939,0.233152158,-0.117904542,0.271222985,0.206132318,0.062651871,-0.183170424,0.130929173,0.344487634,0.149608481,0.171627591,0.012446593
0.255256185,-0.014462251,0.273816428,0.327887663,0.212828524,0.128381674,0.137955109,0.232476,0.363558873,0.182147269,0.135795837,0.202397845,0.093831227,0.28297493,0.049974081,0.115189785,0.200265864,0.162698769,0.01458179,0.064056017,-0.059742625,0.194090811,0.065069401,0.290759902,0.211095241,0.049915772,0.021964927,-0.188014776,-0.011289161,0.108527758,0.171618026,0.172831938,-0.021179121,0.017966515,0.14397194,0.109414612,0.190034562,0.009093947,0.032833241,0.17763644,0.062015509,0.229058559,-0.014952739,0.183026707,0.269443556,0.034764606,0.072022471,0.258372576,0.173811593,0.162333009,0.114273969,0.068089781,0.108532812,-0.106478125,0.224923704,0.079745957,0.008112014,0.191144504,0.038724213,0.209154842,0.010601662,0.169043545,0.146362431,0.18648451,0.359280738,0.282907627,0.291610573,0.135489325,0.098643775,0.31781866,0.076700601,0.13967855,0.317675289,0.251928288,0.194749516,0.23629952,0.111442886,0.103522612,0.42105087,-0.02011878,0.096514644,0.176881688,0.10646184,-0.009839964,0.065271476,0.170415977,-0.012247807,0.021268121,0.172283937,0.216238959,0.197728924,0.124960901,0.178154907,0.055900934,0.094305357,0.149439081,0.057483955,0.234000785,0.201583063,0.196505465
0.201560119,0.022692149,0.012145361,0.129872889,0.134880155,0.374049605,0.124912914,0.510520791,0.15991944,0.421104312,0.268894481,0.393007944,0.15053459,0.227387474,0.050892993,0.255121264,0.076603101,0.22390182,0.092176714,-0.124311259,0.066870539,-0.073938118,0.179363691,0.186944164,0.064631582,-0.039114416,0.031221141,-0.125428889,0.093704324,-0.017985579,0.258205192,0.34211939,-0.052830132,0.239576588,0.051895785,0.024889612,0.401480185,0.117872536,0.190534819,0.0164438,0.040215571,0.059669039,0.099121633,0.028875607,0.0063547,0.04252531,-0.050137132,0.507753733,0.164843314,0.082852862,0.092179286,-0.057555753,-0.090694015,0.220982959,0.11939385,0.118224729,-0.122072599,0.081014185,0.081030502,0.195643621,0.186080455,0.150957111,-0.062737014,0.200858742,0.508791095,0.198482295,0.042109861,0.074587146,0.034546002,0.417361436,0.124719147,-0.022664781,-0.117904855,0.344794101,0.106810782,0.351762121,0.107218185,-0.047261793,0.443882524,0.072899754,-0.032813025,0.196487436,0.312639407,0.087782261,0.179703587,0.075557968,0.023619621,0.212334215,0.172069723,-0.096564021,0.045184902,-0.06755551,0.190921651,0.071678385,0.040104977,0.206779183,0.134115969,0.282675335,0.324971274,0.142461006
0.149870063,0.08305842,0.203429026,-0.04183869,0.120551656,0.179580104,0.254652786,0.300219203,0.298300112,0.163149162,0.17630279,0.39835079,0.022666435,0.168858659,0.066207775,0.185769478,0.050301585,0.184139918,0.355127504,0.144749496,-0.095954763,0.124056046,0.278678574,0.102191756,0.101357921,0.263048902,0.124591806,-0.165563778,0.106623185,0.111116594,0.041888489,0.119015117,0.147119907,0.300020988,0.115294549,0.180892612,0.313851808,0.204097944,0.081327779,0.037994174,0.159956674,0.084810694,0.265757102,0.166064113,0.069443744,0.251774551,0.021677563,0.069165164,0.119287094,-0.128990041,0.084390846,-0.025110445,0.062702865,0.219022599,0.20253061,0.211142426,0.103301858,0.167842124,0.04806439,0.273285778,0.258272767,0.205190377,0.169345361,-0.000310009,0.428403467,0.271048594,0.034114659,-0.008168231,0.248763201,0.373520449,0.019807302,0.161913633,0.098858496,0.089429559,0.202119041,0.374632669,0.10823281,0.08282594,0.108953396,0.232985207,0.109363016,0.170256683,0.061893515,0.130312506,0.02686141,0.259676447,-0.003631504,0.347729633,0.079074178,0.187271654,0.23574874,0.0256577,0.129020293,0.124721477,0.161340347,0.093876215,0.083968827,0.21515079,0.121837553,0.199843625
0.1322495,0.099215389,-0.181348536,0.002514054,-0.191374206,0.40488085,0.171768359,0.324987264,-0.28603252,0.555893845,-0.170734973,0.478991572,0.059375923,-0.088929347,0.192542513,0.210885843,0.065620026,0.191079949,-0.116340666,-0.081864686,-0.089836917,0.065500661,0.151890949,0.156726311,0.072603043,0.134619827,0.03109127,-0.259668489,0.060995911,0.075463526,0.357946195,0.366943145,0.2281778,-0.082221659,0.184785758,0.019001758,0.317063393,0.049806939,-0.035980056,-0.170577119,0.153780092,0.045302362,0.265850255,-0.093493068,0.084863591,-0.117267665,-0.037767715,0.502637381,0.050560269,-0.090419892,0.034020765,-0.249944005,-0.021161061,-0.156380385,-0.117881831,-0.141443475,-0.054462719,-0.096681177,-0.212748964,0.150444394,-0.148133305,-0.18942175,-0.07481492,0.127710821,0.470537153,0.217673223,-0.020335148,-0.200198443,-0.371242624,0.611721869,0.045152076,0.059633371,0.118902863,0.329148117,0.27486751,0.298809969,-0.010809248,0.244167786,0.343028006,0.217962858,0.189833093,0.126641529,0.34645043,0.214249843,0.088085088,-0.06945971,-0.113269313,0.546831761,-0.127066334,0.205491598,0.008925781,-0.013737377,-0.131312414,-0.006971946,-0.137100734,0.091871962,0.212533639,-0.093152534,0.371716066,0.092997256
0.034531115,-0.004477597,-0.07088712,-0.081578233,0.141511227,0.011830656,0.053141583,0.151384426,0.110913323,-0.068905567,0.184190867,-0.074134943,-0.050443939,0.074100538,0.020864908,0.045694225,-0.059983661,-0.11080276,-0.107909207,0.115512953,0.104187789,0.125288093,0.067544386,0.019327689,-0.1163781,-0.024097374,0.105854044,-0.030514209,0.10140844,0.014066841,-0.040078283,-0.120618592,-0.028335404,0.159536116,-0.000333571,0.04450367,0.066012893,-0.038393821,0.009580649,0.041197659,-0.133799169,0.050514144,0.027921184,0.066983817,-0.039437207,-0.005338393,0.119814769,-0.044809243,0.030266354,-0.01199973,0.083816049,0.065303401,-0.008408723,0.160413036,0.017560179,0.227117409,0.00381598,0.051439139,0.089219418,-0.025498122,0.110652434,-0.006254653,0.094858039,-0.06672765,0.192057555,-0.179282518,-0.005958775,-0.160025626,0.14186679,-0.134493615,0.099848462,-0.001356216,-0.080958224,0.060973953,-0.111089127,0.115022056,0.101261964,-0.099326749,0.086876109,0.026447036,0.061626803,-0.026902132,-0.01580333,0.035266168,0.035265956,0.138915046,0.093721835,0.051371366,-0.019805679,-0.13220709,0.110380806,0.111555396,0.079572215,-0.05593774,-0.011168599,-0.185886403,0.045699322,0.000800973,0.0747192,0.021709248
0.035196421,0.099789991,-0.114858114,0.246998308,-0.046464787,0.331532695,0.159715093,0.359280031,-0.135818657,0.364724589,0.073774703,0.498269049,0.088759132,0.018437746,0.136066666,0.17651277,0.149015054,0.321498462,0.085141164,-0.054185706,0.052157431,0.042201077,-0.079836615,0.135343227,0.014713028,0.048601837,0.076370895,-0.090737776,0.212473195,0.113555034,0.367487528,0.326043933,0.212463229,0.175274613,0.219834718,0.048432304,0.289858827,-0.032834286,-0.067908432,0.043828825,0.195790931,0.048111988,0.16521346,0.097264291,-0.000681102,-0.09245522,0.101900842,0.337092836,0.210854869,-0.179699987,0.101859966,0.165291825,0.0207759,0.179978752,-0.016325179,0.126858469,0.061130531,-0.098820355,0.089934531,0.103026632,0.056455872,0.055634738,-0.070991506,0.0590027,0.532455734,0.355991629,-0.05895766,0.124815924,-0.131688656,0.489936471,0.197685774,0.158006032,0.062015128,0.382989717,0.156641915,0.405440082,0.097373934,0.241584269,0.369832127,-0.000691249,0.110965608,0.123851738,0.201608138,0.177898195,0.005449998,-0.061426402,0.037840526,0.449423048,0.11802061,0.162604609,0.014795437,0.088855133,0.201397102,0.067032751,0.033118379,0.217307605,0.108367106,0.020901382,0.238039156,0.118179138
-0.065997385,-0.128829769,-0.113484872,-0.054583723,-0.183408416,0.337436618,0.221848747,0.183345625,0.041935322,0.262166706,-0.088625046,0.407803912,-0.182397626,-0.056720208,0.168088252,0.009881891,-0.174657153,-0.004171013,-0.017132905,-0.170212426,-0.115098123,-0.101807961,0.014722201,-0.165226419,0.037599623,-0.062292433,0.03012629,0.05749135,-0.051443994,0.207660029,0.175433331,-0.10341342,0.119863624,-0.091945567,-0.124868676,0.138133461,0.389759802,-0.215416501,0.147429407,0.066619574,-0.149873228,0.069529223,0.095983602,-0.020119652,0.099344683,-0.046296042,-0.003543427,0.333017601,0.043208432,-0.05758824,0.062385457,-0.192701825,0.026118537,0.216980431,-0.208159086,-0.131973691,0.09480104,-0.077584226,-0.215454986,0.179686317,-0.130242941,0.062072165,0.069867235,0.05789096,0.394637807,-0.01949731,0.134486186,-0.063061577,-0.075368942,0.317414442,0.043340282,0.01664729,0.066337964,0.240572623,0.114046345,0.2151358,-0.002246113,0.136475314,0.348265046,0.052794808,-0.029658594,-0.054893359,0.132654658,-0.2041053,-0.078815627,-0.17869441,0.04492055,0.200381356,-0.015839717,0.077089657,-0.137013389,-0.018220257,0.160150121,-0.219183191,-0.092983868,-0.099575917,-0.138027024,0.114246372,0.042297593,-0.112258783
0.079160257,0.155042517,-0.05788248,0.256025624,0.000957581,0.103076124,-0.000232547,0.145202529,0.011626399,0.249604505,0.227933669,0.335436467,-0.017983583,0.054567416,-0.001265806,0.067078338,0.273154872,0.20689005,0.011756589,-0.146501258,-0.021207663,0.138781716,0.235763862,0.183802934,0.206026979,-0.002078346,0.07606273,0.057907131,-0.002751317,0.126670987,0.226147319,0.280519855,0.107837914,-0.109402385,0.254222355,0.106828022,0.216524257,-0.030440034,-0.0113535,0.022926716,0.252783204,0.024921101,-0.019900038,-0.184311043,0.153219764,0.133671161,0.097101777,0.227997298,0.183356311,-0.084234479,-0.063484966,0.046009407,-0.128254104,-0.113414029,0.027163653,-0.123176715,-0.038399036,-0.024542967,0.269727203,0.063454277,0.11645403,0.022504351,0.070082275,0.177522067,0.45398096,0.229152436,-0.00953142,-0.064804513,-0.021307826,0.392701754,0.090893884,0.34433888,0.206636883,0.348810275,0.163902131,0.404335386,0.123572216,0.04880327,0.360167548,0.159049583,0.209048144,0.061857106,0.236102495,-0.234583574,0.200964097,-0.127239125,0.113637263,0.312568865,-0.002578186,0.107099948,0.229291098,-0.001320992,0.068775345,0.093442544,0.119221072,0.269274967,0.006613184,0.094311069,0.279572689,0.02828559
