ROI,rvals,pvals,matrixpermute_rvals
0,0.043821859,0.624875025,0
1,-0.092020345,0.226554689,0
2,-0.015932743,0.821435713,0
3,0.015327985,0.846430714,0
4,-0.02716061,0.633073385,0
5,-0.040665583,0.74465107,0
6,0.011991331,0.921415717,0
7,0.009910335,0.940411918,0
8,0.005354727,0.912817437,0
9,0.010440984,0.936812637,0
10,-0.056262388,0.445710858,0
11,-0.034688969,0.778444311,0
12,-0.042291088,0.619476105,0
13,-0.048573926,0.455908818,0
14,0.027434324,0.737052589,0
15,-0.057184206,0.553489302,0
16,-0.048215615,0.476304739,0
17,0.108747313,0.150969806,0
18,-0.016336147,0.871025795,0
19,0.033693042,0.658068386,0
20,-0.096938808,0.120575885,0
21,-0.006591159,0.927814437,0
22,-0.192930977,0.00539892,0
23,0.026550959,0.737052589,0
24,0.035777533,0.686462707,0
25,-0.113587471,0.028394321,0
26,-0.114777411,0.086382723,0
27,-0.020655795,0.75424915,0
28,-0.046646042,0.5004999,0
29,-0.115001136,0.115976805,0
30,0.016803524,0.865626875,0
31,-0.024257074,0.806638672,0
32,-0.082034503,0.182163567,0
33,-0.084868124,0.25334933,0
34,0.030747557,0.695660868,0
35,-0.129932358,0.093181364,0
36,0.023666649,0.845430914,0
37,-0.156149127,0.018196361,0
38,0.055355601,0.437512498,0
39,-0.071651548,0.313137373,0
40,-0.006439446,0.923815237,0
41,-0.042953874,0.581483703,0
42,-0.049829934,0.555888822,0
43,-0.038030518,0.528494301,0
44,-0.08871655,0.123175365,0
45,0.060449548,0.229554089,0
46,0.005336549,0.937212557,0
47,-0.02288431,0.831033793,0
48,0.035124535,0.665666867,0
49,-0.046982679,0.461307738,0
50,-0.041926835,0.568886223,0
51,-0.124344118,0.061987602,0
52,-0.079424257,0.206158768,0
53,-0.01516893,0.852229554,0
54,-0.04387779,0.519296141,0
55,-0.117151347,0.081583683,0
56,-0.015001835,0.802639472,0
57,-0.001282226,0.98860228,0
58,-0.081573768,0.159968006,0
59,-0.163492912,0.025994801,0
60,-0.039134812,0.530093981,0
61,-0.035988674,0.573885223,0
62,-0.059699019,0.374125175,0
63,0.043928128,0.551689662,0
64,0.061809379,0.647470506,0
65,-0.003767675,0.964007199,0
66,-0.029216087,0.596480704,0
67,-0.018444409,0.804839032,0
68,-0.003944208,0.945410918,0
69,-0.079861919,0.50769846,0
70,0.042232709,0.589082184,0
71,-0.048135214,0.529294141,0
72,0.041640886,0.549690062,0
73,-0.109213291,0.289742052,0
74,0.000441158,0.995001,0
75,0.048434447,0.700259948,0
76,-0.110042123,0.123775245,0
77,-0.022067013,0.74505099,0
78,0.007652457,0.944611078,0
79,-0.185615857,0.00259948,0
80,0.015634908,0.825034993,0
81,-0.074154475,0.383923215,0
82,0.05551151,0.577084583,0
83,-0.079568979,0.180363927,0
84,-0.156063482,0.039392122,0
85,0.039714051,0.602479504,0
86,-0.113592715,0.201359728,0
87,-0.042341426,0.705058988,0
88,-0.134218447,0.043791242,0
89,0.006014018,0.940611878,0
90,0.008573226,0.897020596,0
91,-0.089053537,0.157568486,0
92,-0.086455176,0.196360728,0
93,-0.037568035,0.611877624,0
94,-0.148345656,0.020395921,0
95,-0.010994005,0.899420116,0
96,-0.065359971,0.477504499,0
97,0.06475731,0.319136173,0
98,-0.007050146,0.948210358,0
99,-0.071261427,0.328934213,0
