ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100
0.011660437,0.118827892,0.094889376,0.196580796,-0.163198612,0.319475233,0.348231642,0.423508453,-0.006180703,0.278443202,0.217093976,0.320123425,0.299340597,0.072759583,0.119046448,0.171606118,0.10492562,0.123182018,0.310466772,-0.054296436,0.240046677,0.059156498,0.288550792,0.095440738,0.030440259,0.008997553,0.226221112,0.038874585,0.250370232,0.160315449,0.332370724,0.066201828,0.049336157,0.187103787,0.152801837,0.237764928,0.274139845,-0.016449241,0.082678628,0.067661578,-0.079505695,-0.158507011,0.325475244,-0.226455936,0.197423042,-0.134371675,0.107108186,0.365170534,0.194688036,-0.079146295,0.140314637,0.09844385,-0.051980684,0.292833664,0.064847729,-0.032629377,0.28437127,0.024661417,0.334070443,0.184059122,-0.0769663,0.207957939,0.26229245,0.182682183,0.397071818,0.105897645,-0.022602834,0.369634634,-0.120329114,0.314874217,0.170237502,0.162616963,0.095317632,0.273548552,0.078389227,0.345037057,0.234107764,0.120448719,0.352608098,0.269131404,0.089731007,0.228148947,0.322332369,0.338021423,0.244828363,-0.037745487,0.379840532,0.306919256,-0.014860182,0.211961563,0.038783323,0.109882812,0.217566054,0.094711961,0.09001404,-0.0625775,0.25033039,-0.029858105,0.184042805,0.058439248
-0.01941892,0.324079716,0.123245922,0.046253986,0.089978213,0.404419731,0.260517665,0.258849957,0.055008094,0.36956818,0.267892988,0.513106106,0.31180638,0.201338511,0.065738338,0.291667834,0.20857701,0.332521962,0.22386706,-0.005078268,0.153278967,0.031045566,0.436141498,0.35383192,0.060043296,0.089749653,0.263639189,0.09147881,0.383818893,0.195019953,0.216596192,0.379349931,0.272238026,0.096344505,0.327516205,0.228779494,0.285596581,0.025219245,0.225446591,0.197946338,0.162548004,-0.057055259,0.280234527,0.026848079,0.287879499,0.09958463,0.163518199,0.383962072,0.282625727,0.192311654,0.103265525,0.230013673,0.174008191,0.18367695,0.187909199,-0.067286782,0.095793001,0.041526263,0.233342315,0.166598169,0.205511161,0.300562799,0.196031534,0.265066934,0.440531843,0.47481676,0.078072449,0.081746063,-0.024083544,0.414608499,0.170721803,0.272655594,0.120278977,0.24344618,0.319164087,0.344275032,0.213563496,0.277450519,0.388111251,0.302712393,0.0632103,0.23351302,0.320666695,0.203184771,0.17375113,0.094909636,0.320452202,0.314071247,0.05930302,0.202592826,0.122766959,0.300768199,0.325726226,0.268447649,0.140073131,0.377171577,0.336885219,0.192983524,0.387186945,0.168564366
-0.03415896,0.125231734,0.046938817,-0.087378909,0.109312732,0.250158441,0.221192671,0.337035123,-0.200350151,0.230824259,0.208451323,0.43287723,-0.045300415,0.108529826,-0.128877848,0.202393327,0.163482422,0.314980946,0.231204125,0.113822737,-0.004832168,-0.11988396,0.183843286,0.356839137,0.076172988,0.088403132,0.130943039,0.099747229,0.242749811,0.27114388,0.216851257,0.182383713,0.096120145,0.067735021,0.245014348,0.193151307,0.25372123,-0.022197013,-0.034948685,0.04513133,0.030157464,-0.008764236,0.096040125,-0.056966398,0.008708354,-0.019096788,-0.032646013,0.34926364,0.047374721,0.15186533,0.099236619,0.224400531,0.193845964,-0.05775794,0.168898167,-0.054332222,-0.031148379,0.038118942,0.009183624,0.207528309,-0.016821878,0.190774505,-0.013267134,0.250923636,0.222894109,0.253726626,0.156320307,0.004599277,-0.092232176,0.437386955,0.163241228,0.188418427,-0.042421733,0.245697557,0.069354518,0.230244306,0.212321602,0.087053731,0.393238163,0.190371063,-0.010474425,0.120894195,0.313392353,-0.160983252,0.198442037,0.13823762,0.099145608,0.150990751,-0.067741701,-0.026365927,0.129927519,0.198899048,0.199330073,0.201891089,0.064677383,0.228110967,0.138935061,0.087112234,0.031338724,0.10132469
0.127518577,0.077485965,0.065632859,0.079336522,0.019388597,0.398395752,0.220471306,0.188523672,-0.045199705,0.375019069,0.059170168,0.52642191,-0.016770943,-0.087966605,0.116497857,0.096019928,0.159531914,0.232027941,-0.036976666,-0.040353464,0.085714174,0.040169102,0.145027986,0.099667937,0.143714222,-0.139666302,0.182643876,0.028902774,0.035050681,0.138745314,0.315794094,0.216070268,0.141742218,0.086390367,0.199585939,0.104582883,0.212634235,-0.152174417,-0.000198338,0.126222545,0.189241247,-0.290323582,0.046678455,-0.13467211,0.134009314,0.012001734,0.037097101,0.426075054,0.265318027,-0.032101119,0.065146805,0.08858717,0.092891727,0.036069655,0.053598594,0.034436324,0.102005981,0.209215687,0.018946739,-0.068697039,0.034423616,0.29982004,0.155746429,0.164148397,0.215121181,0.236722639,-0.132306414,0.172771836,0.014636383,0.510315693,0.080843196,0.229673702,0.024535095,0.185254818,0.155336253,0.160964857,0.201493779,-0.019650783,0.231041154,0.125682858,0.116331693,0.099205499,0.240869058,0.198722236,0.094986058,0.050401143,0.195249044,0.304318866,-0.240107758,0.100675225,0.127670982,0.024356444,0.03605686,0.014465105,0.019576436,0.046111163,0.100326096,0.168819207,0.082394677,-0.016908666
0.233084023,0.339987955,0.137728094,-0.043557333,0.255260335,0.290335447,0.151888052,0.214808913,0.024131512,0.251260563,0.272031454,0.545886045,0.206316319,0.116856244,-0.157447497,0.243824576,0.036513649,0.341669224,0.131155579,0.149636246,0.294234096,0.06683898,0.251412288,0.288278782,-0.003210401,0.207228305,0.34309751,0.072455711,0.077871313,0.112887967,0.33454411,0.271027469,0.188125934,0.46553217,0.428625863,0.190645899,0.209398091,0.047230557,0.199780841,0.216579233,0.010667031,0.027750259,0.129666808,0.094159564,0.248965942,0.167872862,0.192281984,0.23028882,0.267721823,0.02153077,0.235008247,0.25248054,0.157560702,0.211242505,0.171672913,0.125604968,0.132826979,0.314104498,0.17106777,0.232080689,0.27634113,0.393480184,0.230601482,-0.000555917,0.272573336,0.447132673,0.08373913,0.096654891,0.034275831,0.416599164,0.084168386,0.12470877,0.007688878,0.281173275,0.335463308,0.227388612,0.357509031,0.166792132,0.226600323,0.188013932,0.049285036,0.225555529,0.367618035,0.195942745,0.171491033,0.318958519,0.298949297,0.391877273,0.279458054,0.064810235,0.147084356,0.240357069,0.324112613,0.339874817,0.242721321,0.183607775,0.280895302,0.06570157,0.422218062,0.209942861
0.139753773,0.132415611,0.115740146,-0.103957312,0.042517923,0.164763411,0.188777743,0.452253428,0.015464095,0.373095044,0.172335659,0.33779092,0.092544535,0.174609906,-0.299143335,0.286862413,-0.019374366,0.235497985,0.100047653,0.179539679,0.122232071,-0.081817409,0.327850943,0.197816209,-0.103426359,0.003157216,0.119590458,0.079132671,0.155545928,0.160600994,0.256536594,0.271081551,0.104064786,0.088071839,0.256993013,0.188363914,0.219825664,0.201653647,0.268370213,0.171781332,-0.19278196,0.024534342,0.16060887,0.162731617,0.03536535,0.152405728,-0.112573024,0.395331603,0.110843551,0.10849521,0.028420891,0.056496416,0.179140152,-0.000178935,0.147981198,0.141448321,-0.129743758,-0.007233647,-0.098503569,0.21868277,0.067037774,0.241832505,0.096394621,0.210375346,0.277186574,0.252825112,-0.01228625,0.247054996,0.170918824,0.349452889,-0.013631257,0.115523512,-0.024802224,0.236479501,0.237679287,0.222247917,0.199214669,0.285442643,0.388340022,0.228593715,-0.134772821,0.185709229,0.231246595,0.074044491,0.092124683,0.111808665,0.221660642,0.315301631,0.227875552,-0.227360532,0.121725542,0.267831926,0.130594937,0.171848186,0.189865905,0.055287172,0.249752265,0.149583957,0.298082079,-0.007675489
0.035624517,-0.161122093,0.03733146,-0.215771935,0.093315306,0.128261654,-0.103688266,-0.091915005,0.049953234,0.176241807,0.04973253,0.161703142,-0.117485268,-0.011566017,-0.359222568,-0.003282321,-0.148118126,0.337404788,-0.097884514,0.08463043,-0.089324679,-0.147221139,0.021871913,0.335556341,-0.145850279,0.129166006,0.077020886,0.140883786,-0.028001174,-0.127844788,0.125459604,0.122104351,0.048817314,0.287307106,0.324866494,-0.087057394,0.06833818,0.042396066,0.194367851,-0.066347528,-0.12732041,-0.049567991,0.005925651,0.10549588,-0.045496658,0.0174718,-0.120487582,0.238595329,0.034999991,0.083062653,0.06306996,0.078521695,0.038493568,-0.022196454,0.02024534,0.036959249,-0.411605864,0.151707849,-0.008546283,0.124508558,0.156250681,0.084657498,-0.075435585,0.012746169,0.050587163,0.333889007,0.036202227,-0.017133039,0.060334622,0.279470483,-0.08614197,-0.023986325,-0.32249567,-0.048462292,0.275408632,0.035299854,-0.037293277,-0.022261549,0.040599944,-0.103184326,-0.208018691,-0.173988501,0.074978274,0.000173932,-0.384809998,0.178786107,-0.14128819,0.082043144,0.063187731,-0.122833164,0.138589451,0.041959911,0.037239619,0.186074674,-0.029953608,0.333129586,-0.198538508,0.049006041,0.252252272,0.083497531
-0.068525154,0.12185532,0.247905422,0.086171145,0.146663868,0.19384831,0.195711998,0.399076926,0.034810674,0.122209644,0.222203091,0.32532554,0.090007124,0.229214468,-0.040274742,0.01843035,-0.037087981,0.104007402,0.116231057,0.127184091,0.219638585,-0.049861351,0.333940398,0.193388275,-0.006377018,0.325488898,0.222688865,-0.032628462,0.099279682,0.038694528,0.265646107,0.179892612,0.417295536,0.173743366,0.200233,0.072186431,0.238595246,0.184889719,-0.009704918,0.069722483,-0.080827857,-0.003845661,0.087242231,0.149666154,0.294508546,0.075549386,-0.029555339,0.002509329,0.223628217,-0.080164527,0.124703641,0.283018183,-0.004166876,0.050415272,-0.034767397,0.000165364,0.042022143,-0.120682714,0.122887586,0.095298282,0.196708081,0.236847847,0.128864511,-0.058687478,0.245299391,0.22060019,0.118403146,0.200378309,0.013851997,0.449503141,0.08934462,0.117109688,-0.017276685,0.190834864,0.104104064,0.308231052,0.168350724,0.162183338,0.281776179,0.323145506,-0.084407688,0.130607251,0.102994827,0.141608987,0.197200157,0.02418078,0.283568174,0.064634417,0.172155627,-0.010339987,0.016525966,-0.035096876,0.059342457,-0.026122956,0.244490096,0.154076587,0.161202085,-0.00106347,0.085015298,-0.067705581
0.042293354,0.131308259,0.133315473,0.132820818,0.005583854,0.30280702,0.391648537,0.459239589,-0.098964722,0.226619586,0.209998435,0.260120002,0.102358868,0.190981837,-0.031982426,0.106410877,0.036321598,0.08810968,0.060424495,0.029176621,0.099579917,0.008458009,0.133593283,0.107255302,0.120976253,-0.013227345,-0.084657042,0.004004281,0.083544406,0.046268352,0.160321473,-0.155958806,-0.027864515,0.05631388,0.012997094,0.25396177,0.447090858,-0.007293194,-0.065350598,0.14463587,-0.101595088,-0.107265644,0.177219245,-0.116259722,0.156079271,0.023930594,-0.037401708,0.268275625,0.117839438,-0.106554231,0.274766506,0.023464883,0.01017044,0.047153976,-0.036516931,0.082316736,-0.039714139,0.127054723,0.080786056,0.058480641,0.136144634,0.150997944,0.204924189,0.068205631,0.297104015,0.138803826,-0.196319609,0.03704248,-0.170625641,0.331689854,0.009485593,-0.080710859,-0.016326121,0.192625622,0.069336823,0.305836881,0.237257451,0.109078497,0.478178556,0.23471518,-0.03068333,-0.034717026,0.307277329,0.103583731,0.0306312,-0.038448369,0.332642007,0.127527853,-0.161242714,0.076908751,-0.038673148,-0.063061654,0.108450185,0.140932668,0.022894499,0.092228424,0.049730841,-0.144612225,0.106078243,-0.023915546
0.095458191,0.052536685,-0.057368566,0.017378167,0.007321131,0.25409027,0.236132223,0.261352875,-0.127553288,0.268472372,0.185828135,0.322756291,0.067956063,0.158832266,0.138907129,-0.015776253,-0.050243512,0.13162971,0.194310144,0.065512783,0.137421456,-0.086540317,0.29232971,0.114255554,0.027777296,0.171193329,0.189257369,-0.000555959,-0.080259288,0.035131672,0.030001541,0.330375479,0.268930972,0.104239479,0.283484535,0.029097232,0.185566752,-0.012798869,-0.009222703,-0.053792628,-0.039166339,-0.10385039,0.023901759,-0.100948036,0.166931551,0.007316902,0.095322835,0.309291433,0.351176111,-0.152862084,0.001963646,-0.011564878,0.172247433,-0.064799532,-0.036936941,0.057638669,-0.024727,-0.115318267,-0.011670831,0.159737776,-0.003143045,0.086623805,0.166010522,0.08293005,0.094591802,0.316372248,-0.096899724,0.073217544,-0.105720339,0.36995907,0.017669295,0.083065835,0.214566217,0.132096041,0.080715773,0.062392586,0.199744455,0.311769326,0.281373107,0.169290678,0.129511304,-0.115492627,0.18774606,-0.04593466,-0.062600392,-0.023887274,0.110105521,0.38930851,0.106920086,-0.022042003,-0.023513121,-0.096759221,0.073128402,-0.019624574,0.11208322,0.09341109,0.016758522,0.066309196,0.220916282,0.17446534
