ROI,matrixpermute_pvals,rvals,matrixpermute_rvals
0,0.105789421,0.081850978,0
1,0.070292971,0.102260325,0
2,0.066293371,0.103485921,0
3,0.137486251,-0.062055826,0
4,1.00E-04,0.236500096,0.236500096
5,0.234276572,0.052080471,0
6,0.302569743,0.037543915,0
7,0.175082492,0.069519515,0
8,0.03079692,0.124419275,0
9,0.499150085,-0.000695996,0
10,0.169883012,0.064056071,0
11,0.131886811,-0.082795868,0
12,0.371262874,0.01869645,0
13,0.203679632,0.05729537,0
14,0.489551045,-0.002836418,0
15,0.082391761,0.100602311,0
16,0.294970503,-0.03320539,0
17,0.353764624,0.026138115,0
18,0.185581442,0.060618041,0
19,0.200079992,0.052750599,0
20,0.321767823,0.030190691,0
21,0.301669833,-0.032220649,0
22,0.138086191,0.072654816,0
23,0.220577942,0.051908133,0
24,0.282971703,-0.032620209,0
25,0.449755024,0.00476605,0
26,0.119188081,-0.077725692,0
27,0.354364564,-0.022437558,0
28,0.01109889,0.155570238,0
29,0.086491351,0.096356422,0
30,0.340765923,0.030156783,0
31,0.382361764,0.02214287,0
32,0.177682232,0.061407372,0
33,0.486951305,0.001614318,0
34,0.233076692,0.044690193,0
35,0.03859614,0.12510828,0
36,0.241075892,0.050369671,0
37,0.243975602,0.042693444,0
38,0.0049995,0.166682397,0
39,0.00249975,0.201203223,0
40,0.265273473,-0.039207523,0
41,0.281271873,0.035028403,0
42,0.326067393,0.028764092,0
43,0.0069993,0.157396046,0
44,0.490950905,0.000747033,0
45,0.411558844,0.013889501,0
46,0.485251475,0.00122979,0
47,0.367063294,0.022967507,0
48,0.416258374,0.011707479,0
49,0.088691131,0.082100921,0
50,0.176682332,0.060214287,0
51,0.468753125,0.004851695,0
52,0.347765223,0.023921137,0
53,0.094690531,0.087507734,0
54,0.03979602,0.11315645,0
55,0.00449955,0.168052366,0
56,0.110688931,-0.070674847,0
57,0.01359864,0.131487249,0
58,0.252874713,0.038905494,0
59,0.141685831,0.073418978,0
60,0.294970503,0.033252233,0
61,0.00269973,0.195368885,0
62,0.433756624,-0.012998444,0
63,0.04269573,0.118270323,0
64,0.187481252,0.065943055,0
65,0.386261374,-0.020506528,0
66,0.01519848,0.144852044,0
67,0.400759924,0.014805027,0
68,0.00069993,0.204571688,0.204571688
69,0.225177482,-0.053999266,0
70,0.097090291,-0.076479122,0
71,0.04919508,-0.105704648,0
72,0.408959104,-0.01465611,0
73,0.217478252,-0.051848706,0
74,0.347265273,0.024848548,0
75,0.303469653,0.035743275,0
76,0.02049795,0.143305892,0
77,0.411358864,0.014826351,0
78,0.363663634,0.02510828,0
79,0.239676032,0.048414871,0
80,0.095990401,-0.075989023,0
81,0.140085991,-0.065682625,0
82,0.331666833,0.029169245,0
83,0.199380062,0.051666929,0
84,0.150484952,-0.058960027,0
85,0.120387961,0.067188926,0
86,0.322167783,0.029661441,0
87,0.127387261,-0.081547201,0
88,0.451054895,0.007149774,0
89,0.074092591,-0.085903204,0
90,0.175082492,0.063785154,0
91,0.112988701,0.075046231,0
92,0.03839616,0.124587419,0
93,0.141085891,0.070700715,0
94,0.205879412,0.054621852,0
95,0.00749925,0.161868107,0
96,0.443555644,-0.010975128,0
97,0.04479552,0.116552881,0
98,0.050194981,0.110816073,0
99,0.02559744,0.13264398,0
