ROI,matrixpermute_pvals,rvals,matrixpermute_rvals
0,0.01289871,0.205157569,0
1,0.060693931,0.146907871,0
2,0.00279972,0.266148603,0.266148603
3,0.463553645,0.00543373,0
4,0.04529547,0.123547795,0
5,0.145285471,0.114415255,0
6,0.304369563,0.060051387,0
7,0.407559244,0.024114799,0
8,0.0089991,0.208780871,0
9,0.03569643,0.188588258,0
10,0.088391161,0.136339294,0
11,0.01979802,0.241145544,0
12,0.260973903,0.048829462,0
13,0.03839616,0.193147711,0
14,0.372362764,-0.02404069,0
15,0.02229777,0.217121284,0
16,0.121287871,0.079377065,0
17,0.072592741,0.152351039,0
18,0.070192981,0.140004195,0
19,0.0219978,0.17980424,0
20,0.00139986,0.279416566,0.279416566
21,0.336666333,0.025250555,0
22,0.03929607,0.172152133,0
23,0.139886011,0.106349606,0
24,0.209479052,0.046719102,0
25,0.00959904,0.198609057,0
26,0.125287471,0.107309528,0
27,0.03049695,0.11784944,0
28,0.122687731,0.112561131,0
29,0.00049995,0.341484628,0.341484628
30,0.109589041,0.13915264,0
31,0.213678632,0.091542132,0
32,0.270272973,0.055487739,0
33,0.407459254,0.016212399,0
34,0.417858214,0.015008128,0
35,0.00159984,0.291966861,0.291966861
36,0.267673233,0.07006135,0
37,0.01139886,0.187758726,0
38,0.086791321,0.124507018,0
39,0.01759824,0.205615157,0
40,0.387161284,0.020018178,0
41,0.0069993,0.204304966,0
42,0.00089991,0.27046021,0.27046021
43,0.00329967,0.22815444,0.22815444
44,0.00909909,0.218394421,0
45,0.0129987,0.203962037,0
46,0.350064994,0.029213291,0
47,0.193380662,0.093779036,0
48,0.311468853,-0.043971475,0
49,0.214778522,0.059314491,0
50,0.153284672,0.09545383,0
51,0.341365863,-0.039050216,0
52,0.00119988,0.285477077,0.285477077
53,0.04539546,0.159559541,0
54,0.01379862,0.193310611,0
55,0.120487951,0.101852027,0
56,0.379762024,0.019542412,0
57,0.077192281,0.089560764,0
58,0.094790521,0.096628039,0
59,0.03249675,0.178958279,0
60,0.204179582,0.072362575,0
61,0.074892511,0.141871603,0
62,0.03969603,0.156228829,0
63,0.04939506,0.158398965,0
64,0.076892311,0.162231311,0
65,0.487351265,0.000882667,0
66,0.04679532,0.147401814,0
67,0.095590441,0.109349623,0
68,0.04429557,0.15362942,0
69,0.187181282,0.093506721,0
70,0.298570143,0.037443938,0
71,0.054894511,0.152178351,0
72,0.106389361,0.089767011,0
73,0.068693131,0.138091343,0
74,0.088591141,0.123569468,0
75,0.02469753,0.229445755,0
76,0.0349965,0.172499257,0
77,0.01759824,0.231253736,0
78,0.03509649,0.201599287,0
79,0.02519748,0.192827155,0
80,0.406059394,0.015908972,0
81,0.02369763,0.165147432,0
82,0.03589641,0.1747858,0
83,0.388561144,-0.025666894,0
84,0.442455754,0.007584989,0
85,0.137286271,0.077144006,0
86,0.01489851,0.217168825,0
87,0.00219978,0.310373167,0.310373167
88,0.113888611,0.088021953,0
89,0.068293171,0.117444637,0
90,0.143085691,0.10247671,0
91,0.02819718,0.156199116,0
92,0.053894611,0.176637827,0
93,0.04709529,0.157642494,0
94,0.00339966,0.261822313,0.261822313
95,0.122087791,-0.095156695,0
96,0.02039796,0.200687956,0
97,0.00209979,0.266648489,0.266648489
98,0.131886811,0.108039432,0
99,0.120987901,0.111732648,0
